city_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
331,kavaratti,92,IN,1578422389,71,10.57,72.64,82.09,5.97
332,grindavik,90,IS,1578422389,86,63.84,-22.43,30.2,54.13
333,srednekolymsk,64,RU,1578422389,96,67.46,153.71,-17.79,1.97
334,acapulco,20,MX,1578422389,58,16.86,-99.88,87.8,6.93
335,tomatlan,82,MX,1578422390,26,19.93,-105.25,88.57,0.51
336,la paz,5,MX,1578422345,49,24.15,-110.32,77.0,16.11
337,shieli,91,KZ,1578422390,84,44.18,66.74,26.31,6.82
338,shenjiamen,3,CN,1578422390,75,29.96,122.3,47.97,31.72
339,kirakira,94,SB,1578422390,86,-10.46,161.92,79.65,8.25
340,saint-augustin,75,CA,1578422390,53,45.63,-73.98,30.0,5.82
341,decatur,1,US,1578422390,27,35.51,-84.79,53.6,11.41
342,chegdomyn,7,RU,1578422390,98,51.13,133.04,-11.43,0.49
343,hadejia,40,NG,1578422390,19,12.45,10.04,75.34,10.09
344,vani,75,GE,1578422390,37,42.09,42.51,51.8,17.22
345,saint-georges,96,CA,1578422102,63,46.12,-70.67,24.01,7.0
346,comodoro rivadavia,20,AR,1578422390,22,-45.87,-67.48,77.0,25.28
347,novobirilyussy,90,RU,1578422390,96,56.95,90.69,7.92,5.32
348,buchanan,20,LR,1578422390,66,5.88,-10.05,86.0,9.17
349,atikokan,100,CA,1578422092,83,48.76,-91.62,1.02,12.88
350,bourail,100,NC,1578422390,84,-21.57,165.5,69.08,3.71
351,lakes entrance,100,AU,1578422390,93,-37.88,147.99,62.01,12.55
352,yining,0,CN,1578422390,87,29.04,114.56,37.53,1.36
353,bay roberts,75,CA,1578422390,92,47.58,-53.28,30.99,9.17
354,nikki,1,BJ,1578422390,23,9.94,3.21,85.15,4.36
355,effingham,1,US,1578422390,28,39.12,-88.54,46.0,11.41
356,camalu,68,MX,1578422390,13,30.85,-116.07,66.97,2.04
357,springfield,75,US,1578422390,38,42.1,-72.59,42.01,6.93
358,birao,55,CF,1578422390,21,10.3,22.78,77.99,8.52
359,meiganga,55,CM,1578422390,27,6.52,14.29,76.15,7.63
360,praya,40,ID,1578422390,83,-8.71,116.27,80.6,3.29
361,celestun,90,MX,1578422390,73,20.87,-90.4,73.4,16.02
362,itupiranga,75,BR,1578422391,66,-5.13,-49.33,89.6,4.7
363,kaseda,90,JP,1578422391,88,31.42,130.32,66.2,19.46
364,golden,1,US,1578422391,16,39.76,-105.22,57.2,3.36
365,tuatapere,72,NZ,1578422391,85,-46.13,167.69,46.99,4.0
366,lagoa,0,PT,1578422391,76,37.14,-8.45,60.01,2.35
367,bonnyville,20,CA,1578422391,63,54.27,-110.74,-11.2,2.24
368,san francisco,20,CO,1578422391,68,1.17,-76.88,71.6,9.17
